Cluster	`__mclCluster`	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
1	1	GO:0002250	adaptive immune response	8/17	374/14419	3.768937303315633e-9	1.8354724667147134e-6	7.696566703612978e-7	FOXP3/IL12RB1/CD4/ZNF683/LAMP3/CD79B/IL23R/ADGRE1	8
1	1	GO:0019221	cytokine-mediated signaling pathway	7/17	401/14419	1.866866781570333e-7	4.018837071875756e-5	1.6851926768483664e-5	TSLP/IFNGR1/IL12RB1/CD4/ACKR2/IL17RC/IL23R	7
1	1	GO:0001819	positive regulation of cytokine production	7/17	418/14419	2.475669654132909e-7	4.018837071875756e-5	1.6851926768483664e-5	FOXP3/TSLP/IFNGR1/IL12RB1/CD4/IL17RC/IL23R	7
1	1	GO:0045058	T cell selection	4/17	52/14419	3.457018110004468e-7	4.2089195489304394e-5	1.7648987193180705e-5	FOXP3/IL12RB1/CD4/IL23R	4
1	1	GO:0046637	regulation of alpha-beta T cell differentiation	4/17	70/14419	1.155692058164415e-6	1.1256440646521403e-4	4.720089669134664e-5	FOXP3/IL12RB1/ZNF683/IL23R	4
1	1	GO:2000319	regulation of T-helper 17 cell differentiation	3/17	21/14419	1.7869012369278746e-6	1.4384145755354957e-4	6.031609805552495e-5	FOXP3/IL12RB1/IL23R	3
1	1	GO:0043373	CD4-positive, alpha-beta T cell lineage commitment	3/17	22/14419	2.067536350872376e-6	1.4384145755354957e-4	6.031609805552495e-5	FOXP3/IL12RB1/IL23R	3
1	1	GO:0002363	alpha-beta T cell lineage commitment	3/17	24/14419	2.713376030592572e-6	1.6517676586232284e-4	6.926249341249462e-5	FOXP3/IL12RB1/IL23R	3
1	1	GO:0043369	CD4-positive or CD8-positive, alpha-beta T cell lineage commitment	3/17	25/14419	3.0811357310566396e-6	1.6672367789162038e-4	6.991114992105124e-5	FOXP3/IL12RB1/IL23R	3
1	1	GO:0030098	lymphocyte differentiation	6/17	391/14419	3.6756503464484327e-6	1.6724337202694543e-4	7.012906986540023e-5	FOXP3/IL12RB1/CD4/ZNF683/CD79B/IL23R	6
1	1	GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	4/17	94/14419	3.7775710314094452e-6	1.6724337202694543e-4	7.012906986540023e-5	FOXP3/IL12RB1/CD4/IL23R	4
1	1	GO:0002821	positive regulation of adaptive immune response	4/17	100/14419	4.836377473286236e-6	1.81417337275864e-4	7.607254605321001e-5	FOXP3/IL12RB1/CD4/IL23R	4
1	1	GO:2000316	regulation of T-helper 17 type immune response	3/17	30/14419	5.419092803824658e-6	1.81417337275864e-4	7.607254605321001e-5	FOXP3/IL12RB1/IL23R	3
1	1	GO:0046634	regulation of alpha-beta T cell activation	4/17	104/14419	5.6548640704320945e-6	1.81417337275864e-4	7.607254605321001e-5	FOXP3/IL12RB1/ZNF683/IL23R	4
1	1	GO:0002360	T cell lineage commitment	3/17	31/14419	5.995339166830328e-6	1.81417337275864e-4	7.607254605321001e-5	FOXP3/IL12RB1/IL23R	3
1	1	GO:0043372	positive regulation of CD4-positive, alpha-beta T cell differentiation	3/17	31/14419	5.995339166830328e-6	1.81417337275864e-4	7.607254605321001e-5	FOXP3/IL12RB1/IL23R	3
1	1	GO:0072539	T-helper 17 cell differentiation	3/17	32/14419	6.610727282111093e-6	1.81417337275864e-4	7.607254605321001e-5	FOXP3/IL12RB1/IL23R	3
1	1	GO:1903131	mononuclear cell differentiation	6/17	434/14419	6.70536359541181e-6	1.81417337275864e-4	7.607254605321001e-5	FOXP3/IL12RB1/CD4/ZNF683/CD79B/IL23R	6
1	1	GO:0046632	alpha-beta T cell differentiation	4/17	118/14419	9.342277334136135e-6	2.3945731903812092e-4	1.0041007217852688e-4	FOXP3/IL12RB1/ZNF683/IL23R	4
1	1	GO:0046006	regulation of activated T cell proliferation	3/17	37/14419	1.0318250619496293e-5	2.5124940258473475e-4	1.0535476948327795e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0043368	positive T cell selection	3/17	39/14419	1.2118551478205724e-5	2.5659715521244295e-4	1.0759720763258173e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0050798	activated T cell proliferation	3/17	39/14419	1.2118551478205724e-5	2.5659715521244295e-4	1.0759720763258173e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:2000516	positive regulation of CD4-positive, alpha-beta T cell activation	3/17	39/14419	1.2118551478205724e-5	2.5659715521244295e-4	1.0759720763258173e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0045622	regulation of T-helper cell differentiation	3/17	41/14419	1.4114848225087896e-5	2.8641379523407527e-4	1.2010002437136192e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0030217	T cell differentiation	5/17	287/14419	1.5342845773788543e-5	2.92255595085575e-4	1.2254962811326394e-4	FOXP3/IL12RB1/CD4/ZNF683/IL23R	5
1	1	GO:1902105	regulation of leukocyte differentiation	5/17	288/14419	1.5602968115451643e-5	2.92255595085575e-4	1.2254962811326394e-4	FOXP3/IL12RB1/CD4/ZNF683/IL23R	5
1	1	GO:0002711	positive regulation of T cell mediated immunity	3/17	45/14419	1.8734207483227784e-5	3.2584139444042607e-4	1.3663294179496954e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0072538	T-helper 17 type immune response	3/17	45/14419	1.8734207483227784e-5	3.2584139444042607e-4	1.3663294179496954e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0046638	positive regulation of alpha-beta T cell differentiation	3/17	48/14419	2.2784999734731378e-5	3.8263085761428207e-4	1.604460961356765e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	4/17	152/14419	2.5388210443914348e-5	4.1213528287287627e-4	1.7281799389892575e-4	FOXP3/IL12RB1/CD4/IL23R	4
1	1	GO:0032613	interleukin-10 production	3/17	51/14419	2.737403161654657e-5	4.165985436643181e-4	1.7468954386875115e-4	FOXP3/TSLP/IL23R	3
1	1	GO:0032653	regulation of interleukin-10 production	3/17	51/14419	2.737403161654657e-5	4.165985436643181e-4	1.7468954386875115e-4	FOXP3/TSLP/IL23R	3
1	1	GO:0002696	positive regulation of leukocyte activation	5/17	327/14419	2.876771696744808e-5	4.2454176251961257e-4	1.7802032190382546e-4	FOXP3/TSLP/IL12RB1/CD4/IL23R	5
1	1	GO:0043370	regulation of CD4-positive, alpha-beta T cell differentiation	3/17	53/14419	3.0748137823897786e-5	4.367759478894358e-4	1.8315040287593333e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0050863	regulation of T cell activation	5/17	333/14419	3.1390468534148365e-5	4.367759478894358e-4	1.8315040287593333e-4	FOXP3/IL12RB1/CD4/ZNF683/IL23R	5
1	1	GO:0046631	alpha-beta T cell activation	4/17	162/14419	3.2602025475075144e-5	4.4103295573226655e-4	1.849354661451631e-4	FOXP3/IL12RB1/ZNF683/IL23R	4
1	1	GO:0050867	positive regulation of cell activation	5/17	340/14419	3.468205774298686e-5	4.564908681306649e-4	1.914173314975662e-4	FOXP3/TSLP/IL12RB1/CD4/IL23R	5
1	1	GO:0002819	regulation of adaptive immune response	4/17	166/14419	3.5871609157948214e-5	4.5859493784355384e-4	1.922996172952544e-4	FOXP3/IL12RB1/CD4/IL23R	4
1	1	GO:0045580	regulation of T cell differentiation	4/17	167/14419	3.67252619628308e-5	4.5859493784355384e-4	1.922996172952544e-4	FOXP3/IL12RB1/ZNF683/IL23R	4
1	1	GO:1902107	positive regulation of leukocyte differentiation	4/17	170/14419	3.9375801707972004e-5	4.677076934581065e-4	1.961208095339299e-4	FOXP3/IL12RB1/CD4/IL23R	4
1	1	GO:1903708	positive regulation of hemopoiesis	4/17	170/14419	3.9375801707972004e-5	4.677076934581065e-4	1.961208095339299e-4	FOXP3/IL12RB1/CD4/IL23R	4
1	1	GO:0002285	lymphocyte activation involved in immune response	4/17	179/14419	4.817181250437203e-5	5.585636354673613e-4	2.3421883774055573e-4	FOXP3/IL12RB1/ZNF683/IL23R	4
1	1	GO:1903706	regulation of hemopoiesis	5/17	366/14419	4.932730306474068e-5	5.586603858727607e-4	2.3425940745556162e-4	FOXP3/IL12RB1/CD4/ZNF683/IL23R	5
1	1	GO:0046635	positive regulation of alpha-beta T cell activation	3/17	64/14419	5.4249981651010176e-5	6.004486605464081e-4	2.5178221149033434e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0043379	memory T cell differentiation	2/17	10/14419	5.85505272614807e-5	6.336468172520245e-4	2.657029775140879e-4	IL12RB1/IL23R	2
1	1	GO:0002709	regulation of T cell mediated immunity	3/17	67/14419	6.224002928694699e-5	6.589324839726779e-4	2.763058508390782e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0045619	regulation of lymphocyte differentiation	4/17	196/14419	6.860073620924084e-5	6.965281687758053e-4	2.92070603571828e-4	FOXP3/IL12RB1/ZNF683/IL23R	4
1	1	GO:0042093	T-helper cell differentiation	3/17	70/14419	7.096497118371893e-5	6.965281687758053e-4	2.92070603571828e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:2000514	regulation of CD4-positive, alpha-beta T cell activation	3/17	70/14419	7.096497118371893e-5	6.965281687758053e-4	2.92070603571828e-4	FOXP3/IL12RB1/IL23R	3
1	1	GO:0090715	immunological memory formation process	2/17	11/14419	7.151213231784448e-5	6.965281687758053e-4	2.92070603571828e-4	IL12RB1/IL23R	2
1	1	GO:0002294	CD4-positive, alpha-beta T cell differentiation involved in immune response	3/17	71/14419	7.40417874086602e-5	7.070264797650493e-4	2.9647279168792734e-4	FOXP3/IL12RB1/IL23R	3
