transcript_id	genename	P_value	full_adapt	full_adapt_dN	full_adapt_dS	rate_class_number	omega_1	omega_1_prop	omega_2	omega_2_prop	omega_3	omega_3_prop	sign	MRCA_present_aco	MRCA_present_mus	mean_dNdS	species
ENST00000000233	ARF5	1	0.0375490981601416	1e-10	0.0375490981601416	1	0	1	NA	NA	NA	NA	FALSE	TRUE	TRUE	0	HLacoCah2
ENST00000000412	M6PR	1	0.03015242318675919	0.01043067357360218	0.019721749613157	1	0.2195076586769178	1	NA	NA	NA	NA	FALSE	TRUE	TRUE	0.2195076586769178	HLacoCah2
ENST00000001008	FKBP4	1	0.03888497497170276	0.01013933090412719	0.02874564406757556	1	0.1316571893484582	1	NA	NA	NA	NA	FALSE	TRUE	TRUE	0.1316571893484582	HLacoCah2
ENST00000001146	CYP26B1	1	0.02999226306284698	6.472804482847787e-4	0.02934498261456219	1	0.00490332971719838	1	NA	NA	NA	NA	FALSE	TRUE	TRUE	0.00490332971719838	HLacoCah2
ENST00000002125	NDUFAF7	1	0.0619280901607259	0.02050860933259744	0.04141948082812848	1	0.1997380541158292	1	NA	NA	NA	NA	FALSE	TRUE	TRUE	0.1997380541158292	HLacoCah2
ENST00000002165	FUCA2	1	0.06832048310317586	0.02478978342988711	0.04353069967328874	1	0.2247528342134412	1	NA	NA	NA	NA	FALSE	TRUE	TRUE	0.2247528342134412	HLacoCah2
ENST00000002596	HS3ST1	1	0.04409697097372279	0.00976996617556161	0.03432700479816115	1	0.08057818025946732	1	NA	NA	NA	NA	FALSE	TRUE	TRUE	0.08057818025946732	HLacoCah2
ENST00000002829	SEMA3F	1	0.02709572101909799	0.00255339776821039	0.0245423232508876	1	0.03641232110968008	1	NA	NA	NA	NA	FALSE	TRUE	TRUE	0.03641232110968008	HLacoCah2
ENST00000003084	CFTR	1	0.05356451826647583	0.01993046451984007	0.03363405374663581	1	0.2347148469981321	1	NA	NA	NA	NA	FALSE	TRUE	TRUE	0.2347148469981321	HLacoCah2
ENST00000003100	CYP51A1	1	0.04924307423779613	0.00807793633855411	0.041165137899242	1	0.07803187938646275	1	NA	NA	NA	NA	FALSE	TRUE	TRUE	0.07803187938646275	HLacoCah2
ENST00000003302	USP28	1	0.03562181199704655	0.00997730940166015	0.02564450259538642	1	0.1581229975812677	1	NA	NA	NA	NA	FALSE	TRUE	TRUE	0.1581229975812677	HLacoCah2
ENST00000004531	SLC7A2	1	0.05487331066038029	0.01267299103876729	0.04220031962161257	2	0.05040865734842313	0.9969025049479066	22.48774101046235	0.00309749505209344	NA	NA	FALSE	TRUE	TRUE	0.11990818329436972	HLacoCah2
